Image ID,Reference,Adjudicator,Timestamp,Task,Label
1318,55C8358D6F078B169AABC6B3FE789901D4B4FA3BAB5D141020965E39203145BE,clint,2016-Mar-07 16:16:47,quantity,1
1320,8ABF3D2D40C30037AC5213D44AB34AF48884D23359484947AFFCE4888BEB86DB, ,2016-Mar-07 07:00:08,quantity,1
1321,6A0B182BFA1185341CA5982247018B53E7838BFD32634D365C1A60E8A1021027, ,2016-Mar-07 07:00:08,model,AR
1324,658CF6DA7C0188AE1C9A64C610015C58EED8828882273B31359A237F280FC6B6, ,2016-Mar-07 07:00:08,quantity,1
1325,BCA8DDB6552D877B3A1608EF04807D694DD22148ED8029D73010014AEE840019, ,2016-Mar-07 07:00:08,model,AR
1327,74E257D8AA9EB4EE948BAEA34879E7F97BE45EA55EAF2553D12620F6A9970767, ,2016-Mar-07 07:00:08,subject-type,handgun
1330,4ED45846A97CDEF0FE44A01EA0E8B9963CA53BEBEC4F9BB93A9B4EB4DDDA5D4D, ,2016-Mar-07 07:00:08,quantity,0
1330,4ED45846A97CDEF0FE44A01EA0E8B9963CA53BEBEC4F9BB93A9B4EB4DDDA5D4D, ,2016-Mar-08 10:51:53,model,other
1332,6E553328256FD799FC0DFD7B4B6C26CD385E6DEC1D80CCEBD1270F4B59457B8B, ,2016-Mar-07 07:00:08,quantity,0
1334,51D77039A1A51B57FCA0879CB36408D89DCA1A96FAFA69555129EA45BC4E2C1F,clint,2016-Mar-07 16:22:23,quantity,1
1335,16768C012336BB3DBAF7F7AFE4D304BDAD281A84BD7ECB1AA60FFC4065A1B443, ,2016-Mar-07 07:00:09,model,Glock
1338,E67A6B2FC093C2E9A3643A7F480EF78196F692E7F12D6D9FEBAFD9414EB4D0ED,clint,2016-Mar-07 16:22:37,quantity,1
1340,09CF7653AE890AD72C734A4B6C4E59B385359CC3CD8C7A54F5F07BB90500478E,clint,2016-Mar-07 16:22:48,quantity,1
1342,F56C375A1F794FBDCD7AA4691568D7E13DFB78E4D93765D77CD80D889838A8F4, ,2016-Mar-07 07:00:09,quantity,1
1343,2B704D3A5E03BACA9B369FA3A8BD8B08899333AE97143B983F13AA5BF0324F31, ,2016-Mar-07 07:00:09,model,Revolver
1345,6189F27C26892DC97B2082D5859C96A52B1655134126708C1994690A86FBAA18,clint,2016-Mar-07 16:23:09,model,skipped
1347,AF69B7330AC5519A7C7C06877796A95D423954B0FA8353201FA8E9151258EEF8, ,2016-Mar-07 07:00:09,subject-type,handgun
1347,AF69B7330AC5519A7C7C06877796A95D423954B0FA8353201FA8E9151258EEF8, ,2016-Mar-08 10:51:53,model,Glock
1349,2FF990AD83E1E04C5D77EDCD9808937479F9AF875437F264E3BCCEBEAC012934,clint,2016-Mar-07 16:23:44,subject-type,rifle
1352,0E6923DADE4136DDD3627BEDFE3981922DFEDA9D8DF872B5606B45DB9EB9FB57,clint,2016-Mar-07 16:25:05,quantity,1
1354,3D068858ECA0811E26419C37048C58FA0F3C23490F51A0B56731013C592BCB31,clint,2016-Mar-07 16:25:13,quantity,1
1355,BEA4966B2AA926DD9F7ECEA1012797939C615D9454328495FFAD385E4E550DB5, ,2016-Mar-08 10:51:53,model,other
1356,17DA2443DCBD1FA171890CFF3BE06230D8848FA63162FED5838758C970FC146D,clint,2016-Mar-07 16:25:21,subject-type,rifle
1358,C51EDBA4F780544EAA36D05C099E304B731775F9E0EB168FDDA0CC4E3C04BF1B, ,2016-Mar-07 07:00:10,model,Revolver
1361,7EC8A0043B2FB6B1D3A613F1F3FBB6743C2DC343A1033036B8ECEC4E94654594, ,2016-Mar-07 07:00:10,subject-type,handgun
1363,161D4D169344BDBFB8928DEE9DD7F751B427ED266F701AC4EA2614359B61B003,clint,2016-Mar-07 16:25:53,quantity,1
1365,26911CB693400AFEB6957D22FBD8D0998D77F0ECD6006CEC541E585DD31DBD38, ,2016-Mar-07 07:00:11,subject-type,rifle
1367,F6A89923123DD2FBF3FF20AC6FF281C12272FF3D7D0E38A191FA40E49CAD33BC, ,2016-Mar-07 07:00:11,model,Glock
1370,9243FAE596DFE7D528180AF26EFF497DC77B8EB18D87A67076C2FD68E81D22C7, ,2016-Mar-07 07:00:11,quantity,1
1372,36C8F05181E62EB56E42DB22D49DDB9E17B93BF4D08D0F00EE6D383D5E39538B, ,2016-Mar-07 07:00:11,quantity,0
1374,EDF85BB4CDC21E64D1D8BA8CDD9CD79ABFFEF9BBDE7113183D2DDB23EAA7CB68, ,2016-Mar-07 07:00:11,quantity,0
1374,EDF85BB4CDC21E64D1D8BA8CDD9CD79ABFFEF9BBDE7113183D2DDB23EAA7CB68, ,2016-Mar-08 10:51:54,model,other
1376,16454443BEA341C81CDFF10FF46DBB7A274285576A5C4F677DB3E252A7ADD377,clint,2016-Mar-07 16:26:57,quantity,1
1378,F58A804439F6A14A48D65CC1F84D12C32F8207C32F11D1C485BEC2EBA935498C,clint,2016-Mar-07 16:26:58,quantity,1
1380,4DACFD104E6D044E1B78C22C3D44EBD0DF37EE8502B70CAFF3DBA051FDD9670B,clint,2016-Mar-07 16:27:28,quantity,1
1382,2F83A32EFD87FA3D9BCBAC96E9256048AE2D33C3B8C0B88DECDC8E8285E0494A,clint,2016-Mar-07 16:29:31,quantity,1
1384,562BE2B17477AE374D4C4A6A364573169BF757146137770CB6866C5A3BDFEBBA, ,2016-Mar-07 07:00:12,subject-type,frame-lower-receiver
1386,E328FAB5A5D60A79E5F0A2AD46372AC5412B6E81171F16EAA430FAA4E45AC85A, ,2016-Mar-07 07:00:12,subject-type,handgun
1389,7F5030CAF8746FD9C334F6B04AA5A7B75D5494D89CB85AE83E2E7D834870B63E, ,2016-Mar-07 07:00:12,quantity,0
1391,4C29D85DD38644ADBB604638C50575B78856662CD9F9B54982419776F04C3000, ,2016-Mar-07 07:00:12,quantity,0
1391,4C29D85DD38644ADBB604638C50575B78856662CD9F9B54982419776F04C3000, ,2016-Mar-08 10:51:55,model,other
1393,B7847FE73B8D59A637F9E77D809440D20A11CBAE4D631DECD83C5DEB0136BAEA,clint,2016-Mar-07 16:34:12,quantity,1
1394,4176173690E4DDFE15C25FE7FFC353474260B8B6BA0DA9415D661ED8A48E4AB5,clint,2016-Mar-07 16:35:13,model,other
1397,8A6F7797F8EC3B581DB50D3CE2E8F0F1C8F8FDAB5243B07712D2177E0A0A5787,clint,2016-Mar-07 16:35:20,quantity,1
1399,A1458694BEB958C63277C23F6E464199F4576050D1F20DB66B399F0A25B63EF6, ,2016-Mar-07 07:00:12,quantity,1
1401,6595EA9A96938256135C335EEAE4A49B00F4BA34DD5E7B563BE3842DA5203EB9, ,2016-Mar-07 07:00:13,subject-type,shotgun
1401,6595EA9A96938256135C335EEAE4A49B00F4BA34DD5E7B563BE3842DA5203EB9, ,2016-Mar-08 10:51:55,model,AR
1404,AF0D273927E648E154380C16F865F5283B97A330A44C181A4E5167807B9CFD56,clint,2016-Mar-07 16:36:53,quantity,1
1406,9E9A002DE09231E7282E920CA3860DD315A324B5535CC4C84EB5419A4AEE8840,clint,2016-Mar-07 16:36:57,quantity,1
1408,5303412A01D829F08724D2DA09C9483350353576F4383ED931287DE2A9326CC7, ,2016-Mar-07 07:00:13,quantity,1
1410,F766362A70D12F90B4FB4D356CD17753C8FE2D0055D4A35479A3C4880FD28A06, ,2016-Mar-07 07:00:13,quantity,1
1410,F766362A70D12F90B4FB4D356CD17753C8FE2D0055D4A35479A3C4880FD28A06, ,2016-Mar-08 10:51:55,model,AR
1412,A721CA117CFAC901EEBB54419D05DD84675D53B36728650A430FAD15F561A62F, ,2016-Mar-07 07:00:13,quantity,1
1414,C8D2E59F5BEADA06942AB8FD5499D5559336C74E10895563D401C2D4A1D50CCF,clint,2016-Mar-08 09:39:49,subject-type,shotgun
1416,A4C05C94166C4FC9CF58BAD01BE9D710F9240818329EF1918CE43074543B77ED,clint,2016-Mar-08 09:40:02,subject-type,ammunition
1418,A6D9DA0341684750FE843C0D1B50DD1C63572502816D096B24EB80C961A0C017, ,2016-Mar-07 07:00:13,model,AR
1419,4F5B5C57BC890DC4C5B41B67C4DF57F6D004C53FE5E2F7EDFB3B9D9E213E9BB9, ,2016-Mar-08 10:51:56,model,Glock
1421,09950ABC2F5CA3FC217F76E99A6A0A76A4B8E3A754CBE0D833DDA3461A99992A, ,2016-Mar-07 07:00:14,quantity,0
1423,F132E6FF28C2D6981E0EBF23DC9530B52217C657690C3B3D352A02EDBB733341, ,2016-Mar-07 07:00:14,subject-type,handgun
1425,B2A989883EEC437793C38D683A17EB68C3C7459696BCE9DD02C328E6A18C9BF4, ,2016-Mar-07 07:00:14,subject-type,other
1427,495D64AAF8DB120BB22C75C474AF042C4FFB1CFB919B16EAFA0AFAE50063CDA7, ,2016-Mar-07 07:00:14,subject-type,handgun
1429,7854EF61A49633BE718329D646034AF3D33DA4E81C619D6D384B5EAD1B78D0B6, ,2016-Mar-07 07:00:14,subject-type,rifle
1431,F739139AAAA7DB83A7EE7799050B5ED78EA13F4B0522051ACEE096A0A57D4A01, ,2016-Mar-07 07:00:14,subject-type,handgun
1433,36BE15642C93737708E717AA4C80C1B953ED5CFEFD2662C270A0BA4E27CB4842, ,2016-Mar-07 07:00:14,subject-type,handgun
1433,36BE15642C93737708E717AA4C80C1B953ED5CFEFD2662C270A0BA4E27CB4842, ,2016-Mar-08 10:51:56,model,Glock
1435,674D22CD92DEAC036B64373790E27789A0236F13B9810734A1058F168DD430BC, ,2016-Mar-07 07:00:14,subject-type,handgun
1438,2449B4EC93B1B2708EEE66988FD2B563088F50D6532BD5CE6DD6C0CFB6F51C15, ,2016-Mar-07 07:00:15,subject-type,rifle
1440,D1B524C0F130F1BD0B62B82EACF471EBC0234090A3F923C6763614D190AC4E67, ,2016-Mar-07 07:00:15,model,AR
1443,7B14701A3E5963B3F6C487A4B1D393D3D6B72D90C4A0425E95F38B8CC621EC67, ,2016-Mar-07 07:00:15,subject-type,handgun
1444,2D62FCDFD79DE6FFC54FDFC62C694C152B36DA98FDD15D87581957AC0641AFA4,clint,2016-Mar-08 09:54:35,subject-type,other
1445,601DFC355AA5D88D2890589AFACA0B5A85B49A48FBB3F585375976C4491E8ADE,clint,2016-Mar-07 16:39:35,quantity,1
1447,8F2644EBE9DB421D35C70CC8C67C04A2CF74A8D3AD71F4B70F4B97A7BC07E6A9,clint,2016-Mar-07 16:39:40,quantity,1
1449,A4A21272D0CC4E9099503DC3C0B96CD25E19518C968C2BED96FF565C423F0D38,clint,2016-Mar-07 16:39:47,quantity,1
1450,EEA87AB72AB154F7FB41C93B5B38A65AE2B84E218BE2BDE7EAAE06637169BF88, ,2016-Mar-08 10:51:57,model,AR
1451,F8E905E37B6036172FB971912CFEA4CEDA3E28C7C590F71F7DFF02021C4A71FA, ,2016-Mar-07 07:00:15,model,AK
1453,3ADD7575853802BD678032BD150B588CEBA2C00B0B2C9C0C22FA2925D0A95E9B, ,2016-Mar-07 07:00:15,model,Revolver
1456,D68A282C8F86A688A8D6DED1C619015D60DBC117B8910EF439EF8CC37B5229A2, ,2016-Mar-07 07:00:15,quantity,0
1459,29DD8DA34497B4E2CF99C1151AB7ADDACCA96A4A38404A0F85BCD7D21327899C, ,2016-Mar-07 07:00:15,subject-type,handgun
1460,F69422A185953371E499AF394DA900B0FA43EDD0AA7F955367C3078C02D2AD19,clint,2016-Mar-07 16:40:15,model,AR
1461,304C3904D54E7CACD0B03497559968C0947D5763D28FF7F4F0A32FEAD9EE410A, ,2016-Mar-08 10:51:57,model,FN FAL
1462,961968BC60496D5C4D2FB316B8E6DA83A2700F73EDF4EE614CCB1ADA94BD9E82, ,2016-Mar-07 07:00:16,model,Glock
1465,C454ED04236F1F559E3375509F1E71DFBF0B8F4F29A16D624CD8E11A65E6AC55, ,2016-Mar-07 07:00:16,subject-type,other
1467,EFFFB501433F75C2343490B905E5943F0496E1F6E644D8A9C4C056F46B8A4062,clint,2016-Mar-07 16:40:23,quantity,1
1469,FA7ED06125F5370AB7F7C39195571DA6AD617C67E66FA506D97EA3244FEE2485,clint,2016-Mar-07 16:40:29,quantity,1
1470,938922CFC535C7D237E6D7F1C92851A8F47218A642DA3BD589EB471252B01E71, ,2016-Mar-08 10:51:57,model,other
1472,F1705EE434AE80DC6C8D9133D6140989FC3B883198D4EF74113B04E95014E886, ,2016-Mar-07 07:00:16,subject-type,other
1474,2784ECF544EB06DC8D6AF6CDFF61FF73A4B3BD0A228FBD7BDCD663BBE5910053, ,2016-Mar-07 07:00:16,subject-type,other
1476,B08001B1FD88B275E513F190F2DEC296A2FCF3C40C1F1054A297DC9ADDCE6AE8, ,2016-Mar-07 07:00:16,subject-type,handgun
1477,6DF6353F91F6E73CCA4EDB54A19759593DCCC96C6DBBFA39A4C97D2394E28E85, ,2016-Mar-07 07:00:16,model,AR
1480,1DCBF8063327867D7CBC2BA1919D1E19C267908B10E917794728447BEC74B74D, ,2016-Mar-07 07:00:17,subject-type,handgun
1480,1DCBF8063327867D7CBC2BA1919D1E19C267908B10E917794728447BEC74B74D, ,2016-Mar-08 10:51:58,model,FN 5.7
1482,0F340E0A00DDBE53319429E1441BC5761E94AB1BFE7F49655FBFFE4442E26591, ,2016-Mar-07 07:00:17,subject-type,handgun
1485,63AEB587EF05AA115A586E3CA8AF5EDCAB41081B692A404331F4B9275A082B1E, ,2016-Mar-07 07:00:17,subject-type,handgun
1486,AEF711C6473F3A489882EB4626C7D0B71B031E566B1112B8E58D00A207C623C9, ,2016-Mar-07 07:00:17,model,Glock
1489,01874E4730D08B97FCF704265A7D4F66CA47D5ACA3A0FC61300A2799804E3381, ,2016-Mar-07 07:00:17,quantity,1
1491,EAAAB81C1A42F2CD4DE11E243FFDA19F66B4BBD6E992DE8438FFC1FE42BA308F,clint,2016-Mar-07 16:41:10,quantity,1
1494,3443F43F7B46DB3DD976EA1D1D99C2DA732EA631410A600D385AC028366C1816, ,2016-Mar-07 07:00:17,subject-type,shotgun
1494,3443F43F7B46DB3DD976EA1D1D99C2DA732EA631410A600D385AC028366C1816, ,2016-Mar-08 10:51:58,model,AR
1496,465C7ED4EABA9EEFEC4F793EDFD5419652B685373ADA0DA16A22366A2DF336DD, ,2016-Mar-07 07:00:17,subject-type,other
1498,9A335463D1EC7FD9828E5F1A4026452362CCE877148AED472079E028BBE1CC7C, ,2016-Mar-07 07:00:17,quantity,0
1500,42DEC9DF61356AD6265518A30293274EAC6C74B00B2343380F0614A7295AEF16,clint,2016-Mar-07 16:47:24,model,skipped
1502,825A74F3641B1CF1D115759DA38449F73D186C44FFF9F2A22947A0133F23A67D, ,2016-Mar-07 07:00:18,model,Revolver
1505,9BE23CD6545127C02F98B87572BE9A40F5628349E9DB961EC7E3C69E4F9611F0, ,2016-Mar-07 07:00:18,quantity,0
1507,A5F9C540276764F60532D86CC7F775E84C9A5CE4F20CB212076349039F59EB5C, ,2016-Mar-07 07:00:18,model,Glock
1509,BA203A72320222D3B40FEFD75202A4822CD4A49462CCA40C51CA86552777D4B0,clint,2016-Mar-07 16:48:01,quantity,1
1511,400E2E40BC877F7396FFC1157907240D1C2D28332F8AAC1916AF1D623A76C4B2,clint,2016-Mar-07 16:48:05,quantity,1
1512,5C62B5D139F7B1F4457F2BC344C817E947328F2051449BE5D6DC6D93BD669799, ,2016-Mar-08 10:51:59,model,AR
1513,F4FF259C4D457843511765AD71DA96319B98B81579CC895DBCC23678EB250FD6,clint,2016-Mar-07 16:48:30,quantity,1
1515,AFD08F4C7D51FAA1FEAB89369583C0ECC9634DE953749B01F1C074A0A6F260FD, ,2016-Mar-07 07:00:18,quantity,1
1518,B513B1E01150F4BF66CBE58B14F5D6ACC481A85654CC4D68A3799B5800CF0F51, ,2016-Mar-07 07:00:18,subject-type,rifle
1520,F3C81599F4A9E6A273562D8F342B8D0607F534CF4342FB173318B2DAD4CFDC7E, ,2016-Mar-07 07:00:18,subject-type,rifle
1522,3978C3212C00F0887AF6E45FEF12BCD6F7215E1B3D4DF9B573D9138ABADFD6EA, ,2016-Mar-07 07:00:19,subject-type,handgun
1522,3978C3212C00F0887AF6E45FEF12BCD6F7215E1B3D4DF9B573D9138ABADFD6EA, ,2016-Mar-08 10:51:59,model,Glock
1524,9CE6378627E6A844CD347959D170B2FC57874F006A8677BC8B975371AD1464F0, ,2016-Mar-07 07:00:19,quantity,0
1526,071D4B55D24DE0CB9C558EDA092522A73545A2111B0B48068B300EF2623D5CDC, ,2016-Mar-07 07:00:19,quantity,1
1528,F2FE0B35BE7F31AA6191C4440A80EE8AC2E01ECFE2664F464CA57F7DC8C91174, ,2016-Mar-07 07:00:19,quantity,0
1530,97744DA6CB06BB629C4A0ED9728834DBD71379CAE730D9EF8A0E75C0089AB515, ,2016-Mar-07 07:00:19,quantity,1
1532,4D37F6E9D6F9D96E6FB8D9A99D9A70C6D9832E3BC32DCBFB1FB7DA716EB8132C, ,2016-Mar-07 07:00:19,quantity,1
1534,ABDC50387242FCB3A271B2E702A8603CB30765D69AE45472B22DE09F3BB59CF0, ,2016-Mar-07 07:00:19,quantity,1
1535,23CECD7324A706411C58B57605F1CEEA81301A91BBCE7F1C731EB67DB021083F, ,2016-Mar-08 10:52:00,model,Glock
1537,4F291EC011FC87FE646927D1FBC0AE99913BB97256331CE36DA9A933DF5645D8, ,2016-Mar-07 07:00:19,quantity,1
1539,33E6DE60738019FD00CECEC7EB105364F9F3DF81C2B402D1A06CCC50466B0994,clint,2016-Mar-07 16:48:44,subject-type,other
1542,026FC372CADF411275BE8B68AFDFEB1956B320A52084E78A9627708B3460644B, ,2016-Mar-07 07:00:20,quantity,1
1544,F13274A48194205C1DB9A85EE3A191066BE8F960A0EEA69F884EB7031C71C2EA, ,2016-Mar-07 07:00:20,quantity,0
1544,F13274A48194205C1DB9A85EE3A191066BE8F960A0EEA69F884EB7031C71C2EA, ,2016-Mar-08 10:52:00,model,other
1546,3005389EABE6022D27C4A16B6064AD41FB36436A6E368FC41569A0788AFEDF96, ,2016-Mar-07 07:00:20,subject-type,rifle
1549,470FC311DC07B0507EF9DC8F1048C0DFCEC87C9351D0E080621863C593F4629C, ,2016-Mar-07 07:00:20,quantity,1
1551,80A237026F1D6D3F88602E871BB28F28564637EB16A46712DC3CA559360B5540, ,2016-Mar-07 07:00:20,quantity,1
1553,4DAA2C4C056FD2F7355C1B74B45D762485DED0206B7980CB4974EE12E9D12C61, ,2016-Mar-07 07:00:20,subject-type,handgun
1555,90FDE3B926489729931F616D01C7B015E1D2D08DAFF6BE9D902ABC7BD06EDF03, ,2016-Mar-08 10:52:01,model,Glock
1556,079D68E62BC63E6A97BE991D2F4567B3719338EB9781B9A983D8873B9A61CD34,clint,2016-Mar-07 16:49:31,quantity,1
1558,E1846AAE74D905802E5ECFC5B28E1749029938F7D1140A7110AC46BA54C437D0, ,2016-Mar-07 07:00:20,subject-type,handgun
1561,C27B546A1BBBFAFF579887297560F3793FA928B75BBC477CD38217E2D9F6527D, ,2016-Mar-07 07:00:20,quantity,0
1563,85246C29E56F9C859490CA51245B91972D066E774FA03DF3BAF2EADD7EA80812, ,2016-Mar-07 07:00:21,quantity,1
1565,30921E48585CC12124F252D99B895E13442A76B829A7BC25966FA1EA76E1230B, ,2016-Mar-07 07:00:21,subject-type,rifle
1567,E6833B66B826075F40203C41D1D92B2FBE69AFCE403F9C7F1D8303B7748E325A, ,2016-Mar-07 07:00:21,quantity,1
1570,72AA9FFDC359057BBA9BD9AD0D82C03EBAC2142607B33DAFA9963392C2BCF109, ,2016-Mar-07 07:00:21,quantity,1
1570,72AA9FFDC359057BBA9BD9AD0D82C03EBAC2142607B33DAFA9963392C2BCF109, ,2016-Mar-08 10:52:01,model,Glock
1572,21ED14F3FFA8A3D0C068D7BE6B0D194EAD0BF4DE8DD0F51C5F674B6E2CD47FFD,clint,2016-Mar-08 09:43:51,subject-type,other
1575,A604084ECD9DA0C80F6CC5BC5DD402E556DA872AAFFF9ACF5B1DDAFF4411DAE3, ,2016-Mar-07 07:00:21,quantity,1
1578,6CB6DE04E8A6F91037361003BA472651806EBF4A10277E6B8CFBD67ABA0C410C, ,2016-Mar-07 07:00:21,quantity,1
1580,20058392C9416887E4348EAAD500CE6A22E4BC2436F981A519C044FC3DF1A55D, ,2016-Mar-07 07:00:21,subject-type,rifle
1583,23AB4B5A4934095669BEBD650F9F36B6F16C06C21D5D19B1869C8028FA45E637, ,2016-Mar-07 07:00:21,subject-type,handgun
1583,23AB4B5A4934095669BEBD650F9F36B6F16C06C21D5D19B1869C8028FA45E637, ,2016-Mar-08 10:52:02,model,Glock
1586,30DEC92EA9DAA3C6C2F66D7DF5D17186940AF2DF9EA2259A9A7A8B6BBD8F938A,clint,2016-Mar-08 09:44:39,subject-type,handgun
1589,63EBE65B851BE3C2F0E8C697195141CCD268DC550F502492035983112BA8C52A, ,2016-Mar-07 07:00:22,quantity,1
1591,D4CA1DA55C440E9EBA7BDE13073CA6BA7056ACD70A27EB5A5ABB949C41B0C421, ,2016-Mar-07 07:00:22,subject-type,ammunition
1594,C827B44C520B796BE4A04E617A624410D6C222F950813284389CA9101DC1E569, ,2016-Mar-07 07:00:22,quantity,0
1596,7F1F7ABCD4BE8E75959CA645DD0C0C5AECAFE27B2174AB677251578FED6BE712, ,2016-Mar-07 07:00:22,subject-type,handgun
1596,7F1F7ABCD4BE8E75959CA645DD0C0C5AECAFE27B2174AB677251578FED6BE712, ,2016-Mar-08 10:52:03,model,Revolver
1599,798B9B3274DE10BE4613B6A0B4CBBF2C712002785ACA35714D67311C4CB65107, ,2016-Mar-07 07:00:22,quantity,0
1601,9F79E63B8479E3A9833E954A01168C7514CF961B2E701C8F61DA1FCC1CAC29D2,clint,2016-Mar-07 17:02:42,subject-type,rifle
1604,D071AD3386006BC577E28263D2126B96E93F42C6B1B83D1DDFBDD8E7BA9B707F, ,2016-Mar-07 07:00:22,quantity,1
1606,80AA304D6CE242C3733ABBA463E2958C070D386DFC537E75F684954A96AE3AF8,clint,2016-Mar-08 09:47:17,subject-type,other
1609,8A023C4E469ACD9E66E180E6FE7FE49809A2437DAE9AF3557B6E28BBBC48DE88, ,2016-Mar-07 07:00:23,quantity,1
1609,8A023C4E469ACD9E66E180E6FE7FE49809A2437DAE9AF3557B6E28BBBC48DE88, ,2016-Mar-08 10:52:05,model,Glock
1611,AA0DDAB23E1B9C1AFA9855E9DA3E2720188351875F24F225C7BCD5EB4B64C8C7, ,2016-Mar-07 07:00:23,subject-type,silencer
1612,00A243A54709AB9F88549436DD4C029E940AC5AF80E6B32D1A6C6840F8F08280, ,2016-Mar-07 19:00:17,subject-type,ammunition
1614,BA620735E7805248BAAC9DE1C489F7050F20CF151EA1CF2FC8161C6012AD7908, ,2016-Mar-07 07:00:23,subject-type,handgun
1617,9AD2844D982AAD5980B204B119F06EE73B5BDE0E47580432C825B855EF6FE807, ,2016-Mar-07 07:00:23,quantity,1
1619,622CA8CA0528DF5BCE44A5290AFC2C1D282C20AC62641DA64FD7874C6515CA26, ,2016-Mar-07 07:00:23,subject-type,rifle
